what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1455959973621
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1455960167903
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1455960171967
started,bundle,org.eclipse.equinox.p2.artifact.repository,1.1.100.v20110519,"org.eclipse.equinox.p2.artifact.repository",1455960262547
started,bundle,org.eclipse.equinox.p2.director,2.1.0.v20110504-1715,"org.eclipse.equinox.p2.director",1455960296760
started,bundle,org.eclipse.equinox.p2.garbagecollector,1.0.200.v20110510,"org.eclipse.equinox.p2.garbagecollector",1455960298900
started,bundle,org.eclipse.equinox.p2.extensionlocation,1.2.100.v20110510,"org.eclipse.equinox.p2.extensionlocation",1455960298991
started,bundle,org.eclipse.equinox.p2.publisher,1.2.0.v20110511,"org.eclipse.equinox.p2.publisher",1455960299056
started,bundle,org.eclipse.equinox.p2.touchpoint.eclipse,2.1.0.v20110511,"org.eclipse.equinox.p2.touchpoint.eclipse",1455960299096
started,bundle,org.eclipse.equinox.frameworkadmin,2.0.0.v20110502-1955,"org.eclipse.equinox.frameworkadmin",1455960303659
started,bundle,org.eclipse.equinox.simpleconfigurator.manipulator,2.0.0.v20110502-1955,"org.eclipse.equinox.simpleconfigurator.manipulator",1455960303804
started,bundle,org.eclipse.equinox.p2.touchpoint.natives,1.0.300.v20110502-1955,"org.eclipse.equinox.p2.touchpoint.natives",1455960304425
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1455960345218
executed,command,org.eclipse.equinox.p2.ui.sdk,1.0.200.v20110502-1955,"org.eclipse.equinox.p2.ui.sdk.install",1455960345233
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1455960345556
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1455960396072
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1455960399936
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1455960413140
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1455960423968
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1455960492015
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1455960576402
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1455960579381
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1455960581042
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1455960581372
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1455960584757
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1455960681258
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1455960683447
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1455960742248
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1455960746626
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1455961019846
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1455961021416
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1455961023156
closed,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1455961023373
started,bundle,org.eclipse.compare,3.5.200.I20110525-0800,"org.eclipse.compare",1455961023762
stopped,bundle,org.eclipse.jst.ws.axis.creation.ui,1.0.700.v201104070312,"org.eclipse.jst.ws.axis.creation.ui",1455961023898
stopped,bundle,org.eclipse.jst.ws.axis.consumption.ui,1.0.505.v201004211805,"org.eclipse.jst.ws.axis.consumption.ui",1455961023900
stopped,bundle,org.eclipse.jst.ws.axis.consumption.core,1.0.407.v201104071820,"org.eclipse.jst.ws.axis.consumption.core",1455961023901
stopped,bundle,org.eclipse.jst.ws.axis2.creation.ui,1.0.104.v201004211805,"org.eclipse.jst.ws.axis2.creation.ui",1455961023903
stopped,bundle,org.eclipse.jst.ws.axis2.consumption.ui,1.0.103.v201004211805,"org.eclipse.jst.ws.axis2.consumption.ui",1455961023904
stopped,bundle,org.eclipse.jst.ws.axis2.creation.core,1.0.106.v201004211805,"org.eclipse.jst.ws.axis2.creation.core",1455961023905
